
> html-site@1.0.0 start
> npx serve

 INFO  Accepting connections at http://localhost:3000
 HTTP  2/1/2026 3:12:20 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:21 PM ::1 GET /assets/images/reviews/budi-santoso.webp
 HTTP  2/1/2026 3:12:21 PM ::1 GET /assets/images/reviews/siti-aminah.webp
 HTTP  2/1/2026 3:12:21 PM ::1 Returned 200 in 5 ms
 HTTP  2/1/2026 3:12:21 PM ::1 Returned 200 in 5 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /icloud/index.html
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 301 in 1 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /icloud/index
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 301 in 1 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /icloud
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 200 in 6 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /assets/css/icloud.css
 HTTP  2/1/2026 3:12:22 PM ::1 GET /fonts/inter/inter-latin-400-normal.woff2
 HTTP  2/1/2026 3:12:22 PM ::1 GET /fonts/inter/inter-latin-700-normal.woff2
 HTTP  2/1/2026 3:12:22 PM ::1 GET /fonts/fontawesome/webfonts/fa-brands-400.subset.woff2
 HTTP  2/1/2026 3:12:22 PM ::1 GET /fonts/fontawesome/webfonts/fa-solid-900.subset.woff2
 HTTP  2/1/2026 3:12:22 PM ::1 GET /fonts/fontawesome/webfonts/fa-regular-400.subset.woff2
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 5 ms
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 5 ms
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 5 ms
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 4 ms
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 5 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /assets/css/fonts.css
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 200 in 14 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /assets/css/common.css
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /assets/images/icloud.webp
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 200 in 6 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /assets/js/vendor-loader.js?v=2
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:22 PM ::1 GET /assets/js/page-icloud.js?v=2
 HTTP  2/1/2026 3:12:22 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:12:23 PM ::1 GET /assets/js/shared.js?v=2
 HTTP  2/1/2026 3:12:23 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:23 PM ::1 GET /fonts/inter/inter-latin-600-normal.woff2
 HTTP  2/1/2026 3:12:23 PM ::1 GET /fonts/inter/inter-latin-500-normal.woff2
 HTTP  2/1/2026 3:12:23 PM ::1 Returned 304 in 6 ms
 HTTP  2/1/2026 3:12:23 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /nfxid/index.html
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 301 in 2 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /nfxid/index
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 301 in 1 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /nfxid
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /assets/css/nfxid.css
 HTTP  2/1/2026 3:12:25 PM ::1 GET /fonts/inter/inter-latin-400-normal.woff2
 HTTP  2/1/2026 3:12:25 PM ::1 GET /fonts/inter/inter-latin-700-normal.woff2
 HTTP  2/1/2026 3:12:25 PM ::1 GET /fonts/fontawesome/webfonts/fa-brands-400.subset.woff2
 HTTP  2/1/2026 3:12:25 PM ::1 GET /fonts/fontawesome/webfonts/fa-solid-900.subset.woff2
 HTTP  2/1/2026 3:12:25 PM ::1 GET /fonts/fontawesome/webfonts/fa-regular-400.subset.woff2
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 8 ms
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 11 ms
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 10 ms
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 10 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /assets/css/fonts.css
 HTTP  2/1/2026 3:12:25 PM ::1 GET /assets/css/common.css
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 12 ms
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 5 ms
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 6 ms
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 200 in 27 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /assets/images/nfxid.webp
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 404 in 4 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /assets/js/vendor-loader.js?v=2
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /assets/js/page-nfxid.js?v=2
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 200 in 5 ms
 HTTP  2/1/2026 3:12:25 PM ::1 GET /assets/js/shared.js?v=2
 HTTP  2/1/2026 3:12:25 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:26 PM ::1 GET /fonts/inter/inter-latin-600-normal.woff2
 HTTP  2/1/2026 3:12:26 PM ::1 GET /fonts/inter/inter-latin-500-normal.woff2
 HTTP  2/1/2026 3:12:26 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:26 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 4 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /kurmer/index.html
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 301 in 1 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /kurmer/index
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 301 in 1 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /kurmer
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 200 in 5 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /fonts/inter/inter-latin-400-normal.woff2
 HTTP  2/1/2026 3:12:28 PM ::1 GET /fonts/inter/inter-latin-700-normal.woff2
 HTTP  2/1/2026 3:12:28 PM ::1 GET /fonts/fontawesome/webfonts/fa-brands-400.subset.woff2
 HTTP  2/1/2026 3:12:28 PM ::1 GET /fonts/fontawesome/webfonts/fa-solid-900.subset.woff2
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 4 ms
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 3 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /assets/css/kurmer.css
 HTTP  2/1/2026 3:12:28 PM ::1 GET /fonts/fontawesome/webfonts/fa-regular-400.subset.woff2
 HTTP  2/1/2026 3:12:28 PM ::1 GET /assets/css/fonts.css
 HTTP  2/1/2026 3:12:28 PM ::1 GET /assets/css/common.css
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 7 ms
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 9 ms
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 11 ms
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 200 in 23 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /assets/images/kurmer.webp
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 404 in 2 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /assets/js/vendor-loader.js?v=2
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 1 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /assets/js/page-kurmer.js?v=2
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 200 in 4 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /assets/js/shared.js?v=2
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:28 PM ::1 GET /fonts/inter/inter-latin-600-normal.woff2
 HTTP  2/1/2026 3:12:28 PM ::1 GET /fonts/inter/inter-latin-500-normal.woff2
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:28 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:12:30 PM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/1/2026 3:12:30 PM ::1 Returned 304 in 2 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /kurmer/index.html
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 301 in 0 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /kurmer/index
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 301 in 0 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /kurmer
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 1 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /fonts/inter/inter-latin-400-normal.woff2
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 1 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /assets/css/fonts.css
 HTTP  2/1/2026 3:16:03 PM ::1 GET /assets/css/common.css
 HTTP  2/1/2026 3:16:03 PM ::1 GET /assets/css/kurmer.css
 HTTP  2/1/2026 3:16:03 PM ::1 GET /fonts/inter/inter-latin-700-normal.woff2
 HTTP  2/1/2026 3:16:03 PM ::1 GET /fonts/fontawesome/webfonts/fa-brands-400.subset.woff2
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 5 ms
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 4 ms
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 4 ms
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 2 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /fonts/fontawesome/webfonts/fa-solid-900.subset.woff2
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 3 ms
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 2 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /fonts/fontawesome/webfonts/fa-regular-400.subset.woff2
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 2 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /assets/images/kurmer.webp
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 404 in 2 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /assets/js/vendor-loader.js?v=2
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 1 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /assets/js/page-kurmer.js?v=2
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 1 ms
 HTTP  2/1/2026 3:16:03 PM ::1 GET /assets/js/shared.js?v=2
 HTTP  2/1/2026 3:16:03 PM ::1 Returned 200 in 2 ms
 HTTP  2/1/2026 3:16:04 PM ::1 GET /fonts/inter/inter-latin-600-normal.woff2
 HTTP  2/1/2026 3:16:04 PM ::1 GET /fonts/inter/inter-latin-500-normal.woff2
 HTTP  2/1/2026 3:16:04 PM ::1 Returned 200 in 1 ms
 HTTP  2/1/2026 3:16:04 PM ::1 Returned 200 in 0 ms
 HTTP  2/1/2026 3:16:04 PM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/1/2026 3:16:04 PM ::1 Returned 200 in 2 ms
